ORGANIZATION,CITY,STATE,COUNTRY,AWARDS,FUNDING
"A AND D BIOSCIENCE, INC.",SUDBURY,MA,UNITED STATES,1,100000
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,UNITED STATES,3,380659
"AAC ASSOCIATES, INC.",VIENNA,VA,UNITED STATES,6,119215
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,UNITED STATES,12,4344206
"AASTROM BIOSCIENCES, INC.",ANN ARBOR,MI,UNITED STATES,1,232654
ABERDEEN AREA TRIBAL CHAIRMEN'S HLTH BRD,RAPID CITY,SD,UNITED STATES,1,448262
"ABIOMED, INC.",DANVERS,MA,UNITED STATES,5,3360260
ABRATECH CORPORATION,SAUSALITO,CA,UNITED STATES,1,99561
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,UNITED STATES,5,7751426
ABTECH CORPORATION,CHARLOTTESVILLE,VA,UNITED STATES,1,99999
ACADEMYHEALTH,WASHINGTON,DC,UNITED STATES,3,303769
"ACAMBIS, INC.",CAMBRIDGE,MA,UNITED STATES,2,406284
ACCELERATOR TECHNOLOGY CORPORATION,COLLEGE STATION,TX,UNITED STATES,1,74991
"ACCSYS TECHNOLOGY, INC.",PLEASANTON,CA,UNITED STATES,1,99208
"ACLARA BIOSCIENCES, INC.",MOUNTAIN VIEW,CA,UNITED STATES,3,574634
"ACORDA THERAPEUTICS, INC.",HAWTHORNE,NY,UNITED STATES,1,99662
"ACOUSTIC MEDICAL SYSTEMS, LLC",CHAMPAIGN,IL,UNITED STATES,1,99953
"ACTINIC, INC.",GREENSBORO,NC,UNITED STATES,1,77997
ACTUARIAL FORECASTING AND RESEARCH,HOLICONG,PA,UNITED STATES,1,246932
ACTUARIAL RESEARCH CORPORATION,ANNANDALE,VA,UNITED STATES,1,99184
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,UNITED STATES,1,93662
ADDICTION RESEARCH AND TREATMENT CORP,NEW YORK,NY,UNITED STATES,2,255820
ADDICTION RESEARCH INSTITUTE,COLCHESTER,VT,UNITED STATES,1,539555
"ADELPHI TECHNOLOGY, INC.",SAN CARLOS,CA,UNITED STATES,2,216165
ADELPHI UNIVERSITY,GARDEN CITY,NY,UNITED STATES,1,67846
"ADERIS PHARMACEUTICALS, INC.",RICHMOND,VA,UNITED STATES,2,200000
ADEZA BIOMEDICAL CORPORATION,SUNNYVALE,CA,UNITED STATES,3,299885
ADHERENCE TECHNOLOGIES CORPORATION,PURCELLVILLE,VA,UNITED STATES,1,374988
ADIRONDACK BIOMEDICAL RESEARCH INSTITUTE,LAKE PLACID,NY,UNITED STATES,13,2229092
"ADRIA SP, INC.",ALBUQUERQUE,NM,UNITED STATES,2,300000
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,UNITED STATES,7,4021222
"ADVANCED BIOSCIENCE LABORATORIES, INC.",FREDERICK,MD,UNITED STATES,1,27600
"ADVANCED BRAIN MONITORING, INC.",CARLSBAD,CA,UNITED STATES,1,99980
"ADVANCED DETECTORS, INC.",CAMARILLO,CA,UNITED STATES,2,453610
"ADVANCED DIGITAL IMAGING RESEARCH, LLC",LEAGUE CITY,TX,UNITED STATES,2,183399
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,UNITED STATES,2,99942
"ADVANCED MOLECULAR SYSTEMS, INC.",SAN JOSE,CA,UNITED STATES,1,93332
"ADVANCED NMR SYSTEMS, INC.",WILMINGTON,MA,UNITED STATES,1,96849
"ADVANCED RESOURCE TECHNOLOGIES, INC.",ALEXANDRIA,VA,UNITED STATES,1,0
"ADVANCED SURGICAL SYSTEMS, INC.",CAMBRIDGE,MA,UNITED STATES,1,99597
"ADVANCED TARGETING SYSTEMS, INC.",SAN DIEGO,CA,UNITED STATES,1,99997
"ADVANCED THERAPIES, INC.",NOVATO,CA,UNITED STATES,3,295830
"AEGIS MEDICAL TECHNOLOGIES, INC.",SAN DIEGO,CA,UNITED STATES,1,76250
AF SAMMER CORPORATION,RINGWOOD,NJ,UNITED STATES,1,244319
AFFILIATED SYSTEMS CORPORATION,HOUSTON,TX,UNITED STATES,1,463656
"AFFYMETRIX, INC.",SANTA CLARA,CA,UNITED STATES,6,2961155
AGOURON INSTITUTE,LA JOLLA,CA,UNITED STATES,4,996204
"AGOURON PHARMACEUTICALS, INC.",SAN DIEGO,CA,UNITED STATES,1,917600
"AIDS RESEARCH CONSORTIUM OF ATLANTA, INC",ATLANTA,GA,UNITED STATES,2,40000
"ALABAMA CRYOGENIC ENGINEERING, INC.",HUNTSVILLE,AL,UNITED STATES,1,100000
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,UNITED STATES,5,807958
ALAN GUTTMACHER INSTITUTE,NEW YORK,NY,UNITED STATES,2,403983
ALASKA STATE DEPARTMENT OF HLTH-SOC SVCS,JUNEAU,AK,UNITED STATES,1,18200
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,UNITED STATES,3,459922
ALBANY MEDICAL COLLEGE,ALBANY,NY,UNITED STATES,41,5443739
ALBANY STATE UNIVERSITY,ALBANY,GA,UNITED STATES,2,387839
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,BRONX,NY,UNITED STATES,245,77148794
ALBERT EINSTEIN MEDICAL CENTER,PHILADELPHIA,PA,UNITED STATES,2,476455
ALCOHOL SELF-CONTROL PROGRAM,ALBUQUERQUE,NM,UNITED STATES,2,57592
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,UNITED STATES,2,260819
"ALEM ASSOCIATES, INC.",BOSTON,MA,UNITED STATES,1,100000
"ALEXION PHARMACEUTICALS, INC.",CHESHIRE,CT,UNITED STATES,1,265025
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,UNITED STATES,1,94897
ALICE HAMILTON OCCUPATIONAL HLTH CENTER,WASHINGTON,DC,UNITED STATES,1,698906
ALION SCIENCE AND TECHNOLOGY CORP,DURHAM,NC,UNITED STATES,4,755361
ALLEGHENY GENERAL HOSP (PITTSBURGH),PITTSBURGH,PA,UNITED STATES,1,96714
ALLEGHENY UNIVERSITY OF HEALTH SCIENCES,PHILADELPHIA,PA,UNITED STATES,130,26664234
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,UNITED STATES,15,14046489
"ALLIED TECHNOLOGY GROUP, INC.",ROCKVILLE,MD,UNITED STATES,5,415464
"ALLOS THERAPEUTICS, INC.",DENVER,CO,UNITED STATES,1,76668
"ALPHA GENESIS, INC.",YEMASSEE,SC,UNITED STATES,2,937996
"ALPHA-BETA TECHNOLOGY, INC.",WORCESTER,MA,UNITED STATES,1,99974
ALPHATECH CORPORATION,ARLINGTON,VA,UNITED STATES,2,416960
ALTA BATES SUMMIT MEDICAL CENTER,BERKELEY,CA,UNITED STATES,1,256896
ALTARUM INSTITUTE,ANN ARBOR,MI,UNITED STATES,2,410435
"ALTUS BIOLOGICS, INC.",CAMBRIDGE,MA,UNITED STATES,1,236482
ALVERNO COLLEGE,MILWAUKEE,WI,UNITED STATES,2,126057
"AMBERGEN, INC",WATERTOWN,MA,UNITED STATES,1,99957
"AMBION, INC.",AUSTIN,TX,UNITED STATES,3,593075
AMBULATORY SENTINEL PRACTICE NETWORK,DENVER,CO,UNITED STATES,1,599346
AMC CANCER RESEARCH CENTER,DENVER,CO,UNITED STATES,10,3337662
AMERICAN ACADEMY/HOSPICE & PALLIATIVE MD,GAINESVILLE,FL,UNITED STATES,1,88997
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,UNITED STATES,1,63914
AMERICAN AGING ASSOCIATION,MEDIA,PA,UNITED STATES,1,15000
AMERICAN ASSN FOR GERIATRIC PSYCHIATRY,GREENBELT,MD,UNITED STATES,1,88276
AMERICAN ASSN/CHRONIC FATIGUE SYNDROME,ALBANY,NY,UNITED STATES,1,2000
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,UNITED STATES,4,500661
AMERICAN ASSOCIATION FOR STDY LIVER DIS,MIAMI,FL,UNITED STATES,1,5000
AMERICAN ASSOCIATION FOR THE ADV OF SCI,WASHINGTON,DC,UNITED STATES,3,331285
AMERICAN ASSOCIATION OF IMMUNOLOGISTS,BETHESDA,MD,UNITED STATES,1,68500
AMERICAN COLLEGE OF OB AND GYN,WASHINGTON,DC,UNITED STATES,4,5362652
AMERICAN COLLEGE OF RADIOLOGY,PHILADELPHIA,PA,UNITED STATES,2,1156462
AMERICAN COLLEGE OF RADIOLOGY,PHILADELPHIA,VA,UNITED STATES,3,5680553
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VA,UNITED STATES,2,920352
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,UNITED STATES,8,1849752
"AMERICAN FED OF ST, CO, & MUN EMPLOYEES",WASHINGTON,DC,UNITED STATES,1,595036
"AMERICAN HEALTH RESEARCH INSTITUTE, INC.",BIRMINGHAM,AL,UNITED STATES,2,200000
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,UNITED STATES,3,477146
AMERICAN NATIONAL RED CROSS,WASHINGTON,DC,UNITED STATES,29,6423348
AMERICAN NATIONAL RED CROSS LOS ANGELES,LOS ANGELES,CA,UNITED STATES,2,393316
AMERICAN NATIONAL RED CROSS SE MICHIGAN,DETROIT,MI,UNITED STATES,1,116856
AMERICAN NURSES' ASSOCIATION,KANSAS CITY,MO,UNITED STATES,1,235484
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MD,UNITED STATES,5,961184
AMERICAN PSYCHIATRIC ASSOCIATION,ARLINGTON,DC,UNITED STATES,1,613391
AMERICAN PSYCHOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,5,1425980
"AMERICAN REGISTRY OF PATHOLOGY, INC.",WASHINGTON,DC,UNITED STATES,1,149413
AMERICAN RESEARCH CORP OF VIRGINIA,RADFORD,VA,UNITED STATES,5,1036933
AMERICAN SOCIETY FOR CELL BIOLOGY,BETHESDA,MD,UNITED STATES,2,169910
AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DC,UNITED STATES,2,111089
AMERICAN SOCIETY FOR NUTRITIONAL SCIS,BETHESDA,MD,UNITED STATES,1,18000
"AMERICAN SOCIETY FOR VIROLOGY, INC.",MILWAUKEE,WI,UNITED STATES,1,20000
AMERICAN SOCIETY OF HLTH-SYSTEM PHARMS,BETHESDA,MD,UNITED STATES,1,0
AMERICAN SOCIOLOGICAL ASSOCIATION,WASHINGTON,DC,UNITED STATES,1,452194
AMERICAN SPEECH-LANGUAGE-HEARING ASSN,ROCKVILLE,MD,UNITED STATES,1,24000
AMERICAN STATISTICAL ASSOCIATION,ALEXANDRIA,VA,UNITED STATES,1,20000
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,MD,UNITED STATES,1,1651
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,UNITED STATES,8,1781025
AMERICAN UNIVERSITY,WASHINGTON,DC,UNITED STATES,2,214121
AMERICAN UNIVERSITY OF BEIRUT,BEIRUT,,LEBANON,1,86002
"AMETHYST TECHNOLOGIES, INC.",SCOTTSDALE,AZ,UNITED STATES,1,236852
AMHERST COLLEGE,AMHERST,MA,UNITED STATES,2,139570
"AMPLISTAR, INC.",WINSTON-SALEM,NC,UNITED STATES,1,342893
AMRON CORPORATION,MC LEAN,VA,UNITED STATES,2,523148
"ANALYSIS AND SIMULATION, INC.",BUFFALO,NY,UNITED STATES,2,462083
"ANALYTICA OF BRANFORD, INC.",BRANFORD,CT,UNITED STATES,3,738492
"ANALYTICAL SCIENCES, INC.",DURHAM,NC,UNITED STATES,5,2451171
"ANATEK, INC.",KENNETT SQUARE,PA,UNITED STATES,1,80423
"ANATOLE J. SIPIN COMPANY, INC.",NEW YORK,NY,UNITED STATES,1,267985
"ANATRACE, INC.",Cleveland,OH,UNITED STATES,2,618432
"ANNOVIS, INC.",ASTON,PA,UNITED STATES,2,186038
"ANTEX BIOLOGICS, INC.",GAITHERSBURG,MD,UNITED STATES,1,283548
"ANTICANCER, INC.",SAN DIEGO,CA,UNITED STATES,1,379088
"ANTIGEN EXPRESS, INC.",WORCESTER,MA,UNITED STATES,1,100000
APHIOS CORPORATION,WOBURN,MA,UNITED STATES,2,462210
APOLLO RESEARCH CORPORATION,WEST SENECA,NY,UNITED STATES,1,385159
APPALACHIAN STATE UNIVERSITY,BOONE,NC,UNITED STATES,1,32911
"APPETEK, INC.",DURHAM,NC,UNITED STATES,1,97178
"APPLIED BIOMATHEMATICS, INC.",SETAUKET,NY,UNITED STATES,2,315550
"APPLIED BIOPHYSICS, INC.",TROY,NY,UNITED STATES,1,296767
"APPLIED GENETICS LABORATORIES, INC.",MELBOURNE,FL,UNITED STATES,9,1078944
"APPLIED HUMAN FACTORS, INC.",SAN ANTONIO,TX,UNITED STATES,1,98182
APPLIED IMAGING CORPORATION,SANTA CLARA,CA,UNITED STATES,1,0
APPLIED LANGUAGE TECHNOLOGIES,CAMBRIDGE,MA,UNITED STATES,1,100000
"APPLIED SCIENCES LABORATORY, INC.",ALBUQUERQUE,NM,UNITED STATES,1,430937
APPLIED SCIENCES RESEARCH,DANA POINT,CA,UNITED STATES,2,0
"APPLIED SYSTEM TECHNOLOGIES, INC.",ROCKVILLE,MD,UNITED STATES,2,507738
"APT FOUNDATION, INC.",NEW HAVEN,CT,UNITED STATES,2,757096
"AQUILENT, INC.",LAUREL,MD,UNITED STATES,3,114844
ARACOR,SUNNYVALE,CA,UNITED STATES,1,100000
ARCADIA UNIVERSITY,GLENSIDE,PA,UNITED STATES,1,121032
ARDONO RESEARCH,SEATTLE,WA,UNITED STATES,1,100000
"ARIAD PHARMACEUTICALS, INC.",CAMBRIDGE,MA,UNITED STATES,4,801332
ARIZONA STATE UNIVERSITY,TEMPE,AZ,UNITED STATES,49,10083103
ARKANSAS CHILDREN'S HOSP (LITTLE ROCK),LITTLE ROCK,AR,UNITED STATES,6,1051228
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,AR,UNITED STATES,2,122431
ARLENE FINK ASSOCIATES,PACIFIC PALISADES,CA,UNITED STATES,1,344439
"ARMSTRONG DATA SERVICES, INC.",BREA,CA,UNITED STATES,2,86220
"ARTANN LABORATORIES, INC.",TRENTON,NJ,UNITED STATES,1,99956
"ARTSCO, INC.",PITTSBURGH,PA,UNITED STATES,1,83551
"ASH STEVENS, INC.",DETROIT,MI,UNITED STATES,6,1386476
ASHLAND UNIVERSITY,ASHLAND,OH,UNITED STATES,1,64465
"ASIAN AMERICAN RECOVERY SERVICES, INC",SOUTH SAN FRANCISCO,CA,UNITED STATES,3,597419
ASIAN PACIFIC ENVIRONMENTAL NETWORK,OAKLAND,CA,UNITED STATES,1,142724
ASPEN SYSTEMS CORPORATION,ROCKVILLE,MD,UNITED STATES,1,5057
ASSN/WOMEN'S HLTH/OBSTETRIC/NEONATAL NUR,WASHINGTON,DC,UNITED STATES,1,26850
ASSOCIATED UNIV-BROOKHAVEN NATL LAB,UPTON,NY,UNITED STATES,15,3897610
ASSOCIATION FOR RES IN VISION & OPHTHAL,ROCKVILLE,MD,UNITED STATES,1,46795
ASSOCIATION OF AMERICAN MEDICAL COLLEGES,WASHINGTON,DC,UNITED STATES,3,400826
"ASTHMA, INC.",SEATTLE,WA,UNITED STATES,1,724217
AT&T PARADYNE CORPORATION,LARGO,FL,UNITED STATES,1,975000
ATHABASCAN TRIBAL COUNCIL,FORT YUKON,AK,UNITED STATES,1,200400
"ATHENA GROUP, INC.",GAINESVILLE,FL,UNITED STATES,1,99947
"ATHEROTECH, INC.",BIRMINGHAM,AL,UNITED STATES,1,433434
ATLANTIC RESOURCES CORPORATION,MANASSAS,VA,UNITED STATES,3,1291378
ATLANTIC RESOURCES CORPORATION,RESTON,VA,UNITED STATES,1,335799
ATLAS DATA SYSTEMS,MARLBOROUGH,MA,UNITED STATES,1,290706
"ATLIS FEDERAL SERVICES, INC.",ROCKVILLE,MD,UNITED STATES,2,222158
"ATLIS PUBLISHING SERVICES, INC.",LANHAM,MD,UNITED STATES,2,1170000
"ATLIS SYSTEMS, INC.",ROCKVILLE,MD,UNITED STATES,1,0
"ATOM SCIENCES, INC.",OAK RIDGE,TN,UNITED STATES,1,264279
"ATRIX LABORATORIES, INC.",FORT COLLINS,CO,UNITED STATES,2,331227
"ATTO INSTRUMENTS, INC.",ROCKVILLE,MD,UNITED STATES,1,375000
AUBURN UNIVERSITY AT AUBURN,AUBURN UNIVERSITY,AL,UNITED STATES,16,1773698
"AUCKLAND UNISERVICES, LTD",AUCKLAND,,NEW ZEALAND,1,636416
AUDIOLOGICAL ENGINEERING CORPORATION,SOMERVILLE,MA,UNITED STATES,1,375000
"AUROGEN, INC.",FORT COLLINS,CO,UNITED STATES,1,100000
AUSTRALIAN NATIONAL UNIVERSITY,CANBERRA,,AUSTRALIA,2,19750
"AUTOMATED FUNCTIONS, INC.",FALLS CHURCH,VA,UNITED STATES,1,100000
AVANIR PHARMACEUTICALS,ALISO VIEJO,CA,UNITED STATES,1,99869
"AVANT IMMUNOTHERAPEUTICS, INC.",NEEDHAM,MA,UNITED STATES,1,100000
AVITECH DIAGNOSTICS,MALVERN,PA,UNITED STATES,1,294000
"AXON ENGINEERING, INC.",GARFIELD HEIGHTS,OH,UNITED STATES,1,296743
"AXON MEDICAL, INC.",SALT LAKE CITY,UT,UNITED STATES,1,80786
AXONAL INFORMATION SOLUTIONS,DURHAM,NC,UNITED STATES,1,64733
"AXR, INC.",SUNNYVALE,CA,UNITED STATES,1,100000
"AXYS PHARMACEUTICALS, INC.",LA JOLLA,CA,UNITED STATES,1,364822
"AYURCORE, INC.",SAN JOSE,CA,UNITED STATES,1,99801
B. L. SEAMON AND ASSOCIATES,LANHAM,MD,UNITED STATES,5,1813638
"B.H. BLACKWELL, LTD",OXFORD,,UNITED KINGDOM,2,660000
BALL STATE UNIVERSITY,MUNCIE,IN,UNITED STATES,2,174603
"BALTIMORE BIOMEDICAL, INC.",BALTIMORE,MD,UNITED STATES,1,96236
BANNER GOOD SAMARITAN MEDICAL CENTER,PHOENIX,AZ,UNITED STATES,1,182172
BAPTIST MEDICAL CENTER,KANSAS CITY,MO,UNITED STATES,1,310716
"BAPTIST MEMORIAL HOSPITAL (MEMPHIS, TN)",MEMPHIS,TN,UNITED STATES,1,130905
BARBARA ANN KARMANOS CANCER INSTITUTE,DETROIT,MI,UNITED STATES,4,2238936
"BARLOW SCIENTIFIC, INC.",OLYMPIA,WA,UNITED STATES,2,484872
BARNARD COLLEGE,NEW YORK,NY,UNITED STATES,3,303351
BARNES-JEWISH HOSPITAL,SAINT LOUIS,MO,UNITED STATES,45,10971666
BARRY UNIVERSITY,MIAMI SHORES,FL,UNITED STATES,4,1509088
BARTLETT MEMORIAL HOSPITAL,JUNEAU,AK,UNITED STATES,1,49298
BASTYR UNIVERSITY,KENMORE,WA,UNITED STATES,2,129512
BATES COLLEGE,LEWISTON,ME,UNITED STATES,1,91011
BATTELLE CENTERS/PUB HLTH RES & EVALUATN,COLUMBUS,WA,UNITED STATES,4,961780
BATTELLE MEMORIAL INSTITUTE,COLUMBUS,OH,UNITED STATES,22,10948347
BATTELLE PACIFIC NORTHWEST LABORATORIES,RICHLAND,WA,UNITED STATES,15,6813747
BAY AREA TUMOR INSTITUTE,OAKLAND,CA,UNITED STATES,1,198089
BAYLOR COLLEGE OF DENTISTRY,DALLAS,TX,UNITED STATES,8,664188
BAYLOR COLLEGE OF MEDICINE,HOUSTON,TX,UNITED STATES,370,89180286
BAYLOR RESEARCH INSTITUTE,DALLAS,TX,UNITED STATES,3,693736
BAYSTATE MEDICAL CENTER,SPRINGFIELD,MA,UNITED STATES,3,396711
BBN PLANET SOUTHEAST REGION,COLLEGE PARK,MD,UNITED STATES,2,268584
"BDM FEDERAL, INC.",ALBUQUERQUE,NM,UNITED STATES,1,499893
